photo_location,timestamp,gcode
dataset_filtered/A1d_000.jpg,2024-10-17_13-18-26,G1 X-30 Y29.804628 Z1.798712 E28.72 F1800
dataset_filtered/A1d_001.jpg,2024-10-17_13-18-29,G1 X39.412591 Y6.829911 Z2.001288 E47.89 F1800
dataset_filtered/A1d_002.jpg,2024-10-17_13-18-32,G1 X-8.311816 Y-38.442089 Z2.202146 E66.96 F1800
dataset_filtered/A1d_003.jpg,2024-10-17_13-18-35,G1 X-39.805123 Y20 Z2.357511 E81.68 F1800
dataset_filtered/A1d_004.jpg,2024-10-17_13-18-38,G1 X30.540262 Y25.831999 Z2.556652 E100.52 F1800
dataset_filtered/A1d_005.jpg,2024-10-17_13-18-41,G1 X2.547488 Y-40.240492 Z2.77897 E121.63 F1800
dataset_filtered/A1d_006.jpg,2024-10-17_13-18-43,G1 X-39.540448 Y13.5833 Z2.943777 E137.28 F1800
dataset_filtered/A1d_007.jpg,2024-10-17_13-18-46,G1 X26.819062 Y29.677217 Z3.145494 E156.36 F1800
dataset_filtered/A1d_008.jpg,2024-10-17_13-18-49,G1 X12.345245 Y-39.647581 Z3.358369 E176.59 F1800
dataset_filtered/A1d_009.jpg,2024-10-17_13-18-52,G1 X-39.596209 Y-5.670531 Z3.503433 E190.37 F1800
dataset_filtered/A1d_010.jpg,2024-10-17_13-18-55,G1 X18.026509 Y35.707745 Z3.723176 E211.17 F1800
dataset_filtered/A1d_011.jpg,2024-10-17_13-18-58,G1 X3.870384 Y-40.582101 Z3.976395 E235.26 F1800
dataset_filtered/A1d_012.jpg,2024-10-17_13-19-01,G1 X-31.587949 Y-23.630173 Z4.062232 E243.42 F1800
dataset_filtered/A1d_013.jpg,2024-10-17_13-19-04,G1 X-20 Y39.762121 Z4.241631 E260.41 F1800
dataset_filtered/A1d_014.jpg,2024-10-17_13-19-07,G1 X29.850388 Y-40.840764 Z4.521459 E287.03 F1800
dataset_filtered/A1d_015.jpg,2024-10-17_13-19-10,G1 X-26.842207 Y-29.92917 Z4.645923 E298.89 F1800
dataset_filtered/A1d_016.jpg,2024-10-17_13-19-13,G1 X-29.656398 Y30.0 Z4.801288 E313.62 F1800
dataset_filtered/A1d_017.jpg,2024-10-17_13-19-16,G1 X40.0 Y-40 Z5.1 E342.07 F1800
dataset_filtered/A1d_018.jpg,2024-10-17_13-19-19,G1 X-7.398184 Y-38.323615 Z5.201288 E351.73 F1800
